Required Name,Match Status,Matched Global Name,Matched Code,Confidence
"CBC (Complete Blood Count)",MISSING,"",,52%
""Creatinine",MISSING,"",,53%
"ALT (SGPT)",EXACT,"ALT (SGPT)",ALT,100%
"Urine Routine Examination (URM)",EXACT,"Urine Routine Examination (URM)",URM,100%
""CRP (C - Reactive Protein)",FUZZY,"C-Reactive Protein",CP,67%
"TSH",MISSING,"",,22%
"Random Plasma Glucose",EXACT,"Random Plasma Glucose",RPG,100%
"HbA1c (Glycosylated Hemoglobin)",EXACT,"HbA1c (Glycosylated Hemoglobin)",HBA1C,100%
"Lipid Profile",EXACT,"Lipid Profile",LIPID,100%
"FBS & PPBS",MISSING,"",,29%
"Prothrombin Time [PT]",FUZZY,"Prothrombin Time (PT/INR)",PTINR,76%
"Vitamin B12",EXACT,"Vitamin B12",VITB12,100%
"Fasting Blood Glucose",EXACT,"Fasting Blood Glucose",FBG,100%
"Blood Group [ABO + Rh]",EXACT,"Blood Group [ABO + Rh]",ABORH,100%
"Activated Partial Thromboplastin Time [aPTT]",FUZZY,"Activated Partial Thromboplastin Time (aPTT)",APTT,95%
"Widal test [Slide method]",FUZZY,"Widal Test (Slide Method)",WIDALS,92%
""Bilirubin",MISSING,"",,40%
"HIV I & II �by Chemiluminescence",MISSING,"",,38%
"Thyroid Function Test [TFT]",FUZZY,"Thyroid Function Test (TFT)",TFT,93%
"Hb (Hemoglobin)",FUZZY,"Hemoglobin",HB,67%
""Troponin I",MISSING,"",,38%
"Sickling Test",EXACT,"Sickling Test",SICKLE,100%
"Sodium Potassium (NA+k)",FUZZY,"Sodium & Potassium",NAK,61%
"Postprandial Blood Glucose [2 H]",FUZZY,"Postprandial Blood Glucose (2 Hours)",PPBG2H,83%
"Vitamin D [25-OH-D]",FUZZY,"Vitamin D (25-OH)",VITD25,79%
"CBC - ESR",MISSING,"",,42%
""Hepatitis B Antigen [HBsAg]",FUZZY,"Hepatitis B Antigen (HBsAg), Rapid",HBSAGR,71%
""Smear Morphology",MISSING,"",,29%
"AST (SGOT)",EXACT,"AST (SGOT)",AST,100%
""Uric Acid",FUZZY,"Uric Acid",URIC,90%
""Urea",MISSING,"",,22%
"Potassium [Serum/Plasma]",MISSING,"",,58%
"Biopsy Small",MISSING,"",,55%
""Electrolytes",MISSING,"",,58%
"CBC with MP",FUZZY,"CBC with MPV",CBCMPV,92%
"Culture & Sensitivity (CS)",MISSING,"",,36%
""Immunoglobulin",MISSING,"",,53%
"Hepatitis C Ab. [Chemiluminescence]",MISSING,"",,43%
"Stool Routine Examination",EXACT,"Stool Routine Examination",SRE,100%
""Rheumatoid factor",MISSING,"",,52%
"HB Electrophoresis",FUZZY,"Hemoglobin Electrophoresis",HBE,69%
"Iron Profile",EXACT,"Iron Profile",IRONP,100%
"Prolactin",EXACT,"Prolactin",PRL,100%
"Ferritin",EXACT,"Ferritin",FERR,100%
"Iron [Fe]",MISSING,"",,50%
""Cholinesterase",FUZZY,"Cholinesterase, Serum",CHE,62%
"Protein with A/G Ratio [Fraction panel]",MISSING,"",,41%
"VDRL with titer",EXACT,"VDRL with Titer",VDRL,100%
"Liver Function Test",EXACT,"Liver Function Test",LFT,100%
"FT4 [Free T4]",MISSING,"",,35%
"FSH",MISSING,"",,17%
"Bicarbonate (HCO3)",EXACT,"Bicarbonate (HCO3)",HCO3,100%
"Arterial Blood Gas (ABG) Analysis",MISSING,"",,36%
""Malarial Antigen",MISSING,"",,58%
"Creatinine with EGFR",EXACT,"Creatinine with EGFR",CREGFR,100%
""Lipase",FUZZY,"Lipase",LIPASE,86%
""Calcium",MISSING,"",,44%
"Renal Function Test",EXACT,"Renal Function Test",RFT,100%
""Sodium (Na+)",FUZZY,"Sodium (Na+)",NA,92%
""Total Cholesterol",FUZZY,"Total Cholesterol",CHOL,94%
""Amylase",MISSING,"",,43%
"Beta HCG [Quantitative]",FUZZY,"Beta HCG, Quantitative",BHCGQ,87%
"Semen Examination",MISSING,"",,56%
""Acetone",MISSING,"",,33%
""Dengue NS1",MISSING,"",,39%
"Procalcitonin [PCT]",FUZZY,"Procalcitonin (PCT)",PCT,89%
""Prostate Specific Ag. [PSA]",FUZZY,"Prostate Specific Antigen (PSA), Total",PSA,61%
"NT-proBNP",MISSING,"",,33%
"TOXO IGG/IGM",FUZZY,"Toxoplasma IgG/IgM",TOXOGM,67%
"HB-TC-DC-ESR(CBC-ESR)",MISSING,"",,25%
"S. typhi IgG & IgM [Rapid IA]",FUZZY,"S. typhi IgG & IgM",STYPHIGM,62%
"Free Thyroid Function Test [Free TFT]",FUZZY,"Free Thyroid Function Test",FTFT,70%
"Hepatitis A IgM Ab.",FUZZY,"Hepatitis A IgM Antibody",HAVIGM,75%
""CA 125",FUZZY,"CA 125",CA125,86%
"Fibrin D-Dimer",MISSING,"",,50%
"Adenosine Deaminase (ADA)",MISSING,"",,45%
"Total Iron Binding Capacity (TIBC)",EXACT,"Total Iron Binding Capacity (TIBC)",TIBC,100%
"Anti Mullerian Hormone",EXACT,"Anti Mullerian Hormone",AMH,100%
""HIV",MISSING,"",,17%
"Alkaline Phosphatase",EXACT,"Alkaline Phosphatase",ALP,100%
""Albumin Creatinine Ratio",FUZZY,"Albumin Creatinine Ratio, Urine",UACR,74%
"Luteinizing Hormone [LH]",FUZZY,"Luteinizing Hormone (LH)",LH,92%
"Glucose Tolerance Test (GTT) 3 Samples",FUZZY,"Glucose Tolerance Test (GTT) - 3 Samples",GTT3S,95%
""GGT (Gamma Glutamyl Transferase)",FUZZY,"Gamma Glutamyl Transferase (GGT)",GGT,67%
""Homocysteine",FUZZY,"Homocysteine",HCY,92%
""ANA",MISSING,"",,22%
""LDH [Lactate dehydrogenase]",MISSING,"",,57%
""Dr. Nirav Patel (Minor Profile)����������������� 				"",MISSING,"",,20%
"Erythrocyte Sedimentation Rate [ESR] 1 Hour",FUZZY,"Erythrocyte Sedimentation Rate (ESR)",ESR,79%
""CEA",MISSING,"",,22%
""Magnesium",FUZZY,"Magnesium",MG,90%
""Albumin",FUZZY,"Albumin",ALB,88%
"BT CT with PT",MISSING,"",,54%
""Cotinine",MISSING,"",,35%
"Anti CCP (Cyclic Citrullinated Peptide)",FUZZY,"Anti-CCP (Cyclic Citrullinated Peptide)",CCP,97%
""Accuris B+ checkup - PLATINUM	"",MISSING,"",,28%
"Absolute Eosinophil Count (AEC)",EXACT,"Absolute Eosinophil Count (AEC)",AEC,100%
""AFB Stain",MISSING,"",,47%
""Dr. Nirav Patel (Major Profile)��������������� 				"",MISSING,"",,21%
""Ionized Calcium",MISSING,"",,38%
""Dengue NS1 Antigen",FUZZY,"Dengue NS1 Antigen (Rapid)",DNS1R,65%
""Hepatitis B Antigen [HBsAg]",FUZZY,"Hepatitis B Antigen (HBsAg), Rapid",HBSAGR,71%
""Thyroid Peroxidase (TPO) Antibody",FUZZY,"Thyroid Peroxidase (TPO) Antibody",TPOAB,97%
"Dr Sarvar vali- for TPA purpose.",MISSING,"",,34%
"Biopsy Large",FUZZY,"Biopsy, Large",BIOLG,92%
"Platelet Count [Optical method]",MISSING,"",,39%
"DR NEEL SHAH BODY PROFILE - GOLD",MISSING,"",,34%
"Mantoux (Tuberculin) Test",MISSING,"",,40%
"Exfoliative Cytology",MISSING,"",,33%
"Blood Urea Nitrogen (BUN)",EXACT,"Blood Urea Nitrogen (BUN)",BUN,100%
""Phosphorus",MISSING,"",,53%
"Ammonia (NH3)",MISSING,"",,39%
"Biopsy Extra Large",FUZZY,"Biopsy, Large",BIOLG,67%
"IHC",MISSING,"",,25%
"OT Surveillance",MISSING,"",,28%
"CS Blood Aerobic By Bactec (1 bottle)",MISSING,"",,35%
""G6PD",MISSING,"",,17%
"Hepatitis E IgM Ab.",FUZZY,"Hepatitis E IgM Antibody",HEVIGM,75%
"Fluid Routine Examination",FUZZY,"Stool Routine Examination",SRE,80%
"First Trimester Maternal Screen [Double Marker]",MISSING,"",,30%
"CPK-Total",MISSING,"",,25%
"Biopsy Medium",EXACT,"Biopsy Medium",BIOMED,100%
